nMax,time,avgScore,varScore,maxScore
3000,3.24934,-44.9358,63.2464,-35.0228
3000,3.37255,-40.6172,324.363,-27.1966
3000,9.6909,-42.5754,161.915,-29.7587
3000,2.2665,-36.3318,41.5836,-28.3702
3000,3.15513,-36.8948,118.501,-24.3482
3500,11.1784,-38.1736,178.172,-22.9537
3500,6.15468,-36.6251,59.6578,-25.8012
3500,10.6851,-37.9535,630.503,-23.9702
3500,3.19038,-38.1981,16.5825,-32.7533
3500,12.3958,-35.8969,38.148,-23.9523
3500,8.72169,-32.5828,82.9945,-26.6174
3500,1.53201,-42.9832,40.4849,-36.5279
3500,5.61833,-46.7507,272.474,-26.8343
3500,2.46157,-40.911,84.1277,-29.9602
3500,6.66099,-54.3083,615.752,-36.2289
3500,2.70002,-38.6817,295.162,-27.4979
3500,4.29894,-46.0136,172.115,-37.4567
3500,3.56365,-37.9922,10.4214,-30.0834
3500,2.54538,-30.2205,221.827,-22.5376
3500,4.24551,-38.4208,256.405,-31.9198
3500,8.39831,-37.2012,157.787,-23.8633
3500,3.2356,-45.8286,42.9696,-37.7272
3500,2.51494,-39.6518,89.2056,-26.666
3500,2.99629,-43.2512,88.0318,-23.7144
3500,1.51755,-42.4428,78.3455,-32.8894
4000,5.11419,-39.2495,66.9858,-30.8643
4000,4.88834,-36.2391,127.212,-23.1263
4000,3.15903,-33.6994,7.68436,-26.4574
4000,12.3501,-33.1304,28.4316,-22.7758
4000,8.11496,-39.6469,150.424,-27.7241
4000,4.10449,-42.258,39.5975,-29.5357
4000,7.70477,-33.2466,6.20757,-28.0942
4000,8.90961,-41.7941,219.715,-27.6377
4000,5.27214,-43.2363,137.436,-28.9519
4000,4.97777,-38.3688,2708.02,-27.3223
4000,6.29659,-32.6266,41.2413,-25.694
4000,3.0192,-34.7967,164.472,-22.9174
4000,5.2827,-41.431,33.5724,-34.1925
4000,9.3395,-35.4421,45.2031,-24.3741
4000,4.95607,-43.4856,213.086,-26.5678
4000,4.00677,-44.792,18.64,-34.0549
4000,6.91222,-33.6653,974.268,-24.7336
4000,5.01812,-35.2666,50.1923,-28.6125
4000,5.66946,-39.7623,140.536,-29.9733
4000,3.06971,-43.393,2144.43,-30.2865
4500,17.3388,-34.3291,24.5631,-24.3577
4500,5.00498,-38.4503,59.3458,-25.23
4500,5.45737,-36.8913,19.7573,-30.5092
4500,5.04649,-37.9638,54.8882,-29.7673
4500,6.10718,-37.8449,43.2631,-28.8941
4500,4.76774,-39.8796,51.8925,-28.2648
4500,4.46714,-35.0713,99.1732,-23.9598
4500,4.13589,-41.0941,85.9158,-27.5325
4500,8.09485,-33.9881,13.5844,-24.0192
4500,2.77323,-42.3293,80.9103,-34.9428
4500,2.79685,-43.125,294.801,-32.7822
4500,9.83389,-37.3142,92.4238,-25.2412
4500,10.6574,-35.7681,49.6705,-28.1576
4500,5.75597,-48.7197,1300.97,-32.51
4500,4.14125,-36.3178,59.3397,-29.9625
4500,6.10939,-37.1219,508.031,-24.7598
4500,10.1275,-30.8922,37.4949,-20.7756
4500,6.57886,-31.9201,276.253,-19.7447
4500,4.54097,-37.5645,24.8687,-26.0126
4500,3.91303,-160.728,30920.4,-29.4672
5000,4.12169,-37.8552,13.2253,-31.8196
5000,5.21118,-40.685,34.8217,-31.9465
5000,4.31674,-35.8819,19.6792,-25.2368
5000,6.45797,-36.8932,90.959,-29.8755
5000,7.09193,-44.4153,257.588,-30.1154
5000,7.62412,-40.9843,949.055,-24.4073
5000,4.22704,-45.076,211.36,-30.2211
5000,15.3316,-33.0495,24.1063,-25.0434
5000,3.00688,-41.3165,168.228,-24.3637
5000,8.4189,-42.9526,3835.77,-28.2125
5000,10.8732,-33.1306,29.5531,-24.5134
5000,2.81367,-33.537,35.4085,-28.002
5000,6.40734,-51.8559,1030.74,-31.1482
5000,5.18952,-40.8298,2879.52,-28.9967
5000,4.80265,-41.3211,12.8663,-35.1131
5000,5.24054,-39.5405,158.683,-30.3126
5000,2.51088,-49.2308,187.016,-32.7939
5000,4.53011,-39.4581,40.9143,-31.016
5000,6.37096,-37.8004,278.689,-24.4256
5000,4.80812,-38.557,39.353,-31.9532
5500,5.6132,-37.6175,509.772,-24.1714
5500,4.55162,-44.8153,50.0988,-32.1474
5500,5.9138,-38.0855,130.153,-30.7028
5500,11.972,-30.0225,123.12,-22.344
5500,1.40397,-35.796,90.947,-29.5836
5500,3.46815,-35.2813,123.333,-22.5016
5500,3.34373,-45.4099,124.688,-31.2211
5500,6.88493,-41.4535,154.828,-27.6486
5500,5.64997,-45.3358,24.16,-31.8196
5500,4.32534,-45.5749,90.7435,-30.5701
5500,10.274,-35.9267,127.703,-22.7372
5500,2.69117,-42.582,700.002,-34.9033
5500,2.45873,-41.0404,129.025,-32.875
5500,5.39019,-40.8867,271.221,-26.9949
5500,4.28906,-35.9157,18.458,-27.4221
5500,5.6094,-44.9256,460.167,-32.1507
5500,3.10523,-58.2853,5915.09,-38.0528
5500,5.10142,-41.1794,320.621,-29.8561
5500,3.90893,-35.1959,72.8338,-25.6634
5500,5.9628,-39.7164,423.245,-28.5486
6000,12.6611,-31.9427,287.318,-18.5848
6000,2.20688,-37.7952,437.152,-29.5265
6000,3.21763,-33.6235,51.6075,-26.7494
6000,7.50367,-38.0983,213.835,-22.7767
6000,5.38619,-52.9302,3545.69,-35.7679
6000,4.86183,-37.9522,420.052,-27.0216
6000,5.02961,-42.939,56.4342,-34.4102
6000,4.62585,-36.4957,94.3273,-28.3511
6000,5.71965,-42.9649,248.773,-32.6992
6000,6.67979,-40.8461,318.746,-32.2145
6000,4.34254,-36.3466,19.2176,-24.2083
6000,6.55488,-41.5766,115.906,-31.0887
6000,4.92145,-37.1891,15.5922,-31.395
6000,5.74582,-36.4921,75.5986,-31.4532
6000,2.01228,-40.8256,177.175,-33.757
6000,4.88702,-38.9438,276.442,-23.8781
6000,2.29603,-37.688,100.967,-28.4785
6000,6.51469,-35.3835,79.0521,-23.5724
6000,8.20548,-36.2411,108.286,-24.1713
6000,2.87674,-38.2983,325.509,-22.8108
6500,4.32048,-45.3888,192.718,-29.4239
6500,4.5685,-40.6015,179.338,-30.678
6500,2.49605,-39.1482,223.059,-30.5748
6500,8.57039,-40.6441,334.537,-22.8633
6500,4.54021,-31.6594,62.1052,-27.9846
6500,0.885124,-47.4276,187.038,-42.6035
6500,5.96945,-36.2627,123.282,-27.5415
6500,4.27351,-47.3244,11168.4,-27.4723
6500,4.63914,-45.1381,54.9803,-32.997
6500,5.56035,-39.57,45.4019,-28.2811
6500,2.35138,-40.7418,192.157,-29.5259
6500,3.50156,-42.2264,659.154,-26.8534
6500,4.66283,-42.8158,194.572,-35.6037
6500,7.01564,-33.4028,38.423,-18.6656
6500,3.45989,-43.5009,54.3352,-34.0961
6500,4.86802,-39.9614,89.5212,-33.8551
6500,6.72122,-39.4714,72.0763,-32.1675
6500,3.87173,-42.4842,124.319,-32.6317
6500,6.41517,-34.5052,24.731,-27.7745
6500,5.21333,-34.3875,24.4808,-26.403
7000,6.19603,-38.3147,90.6956,-31.8191
7000,3.41226,-42.2075,98.7518,-35.6002
7000,3.67598,-39.7048,134.013,-33.589
7000,6.17011,-37.8555,116.769,-29.9602
7000,2.36467,-53.2223,476.058,-45.7034
7000,3.51612,-36.0359,18.7426,-27.4535
7000,2.71727,-40.1383,151.982,-29.6031
7000,3.44113,-47.1012,13.9484,-41.857
7000,5.77772,-39.3311,47.2462,-31.7595
7000,3.87608,-39.8789,79.021,-30.8892
7000,5.32065,-43.7483,290.301,-26.5616
7000,3.78,-36.7939,39.3282,-27.8566
7000,6.3867,-44.2234,270.168,-31.9599
7000,2.91344,-44.1896,22.5906,-34.1787
7000,5.45473,-41.2102,642.402,-34.1925
7000,4.98213,-37.532,180.415,-30.4909
7000,4.64062,-51.703,600.552,-30.884
7000,1.91445,-42.4644,367.141,-30.3192
7000,11.982,-35.5335,106.989,-26.5028
7000,2.26818,-38.1446,224.608,-26.6174
7500,5.70092,-27.5497,26.3639,-22.1849
7500,8.62877,-44.9019,913.17,-33.7395
7500,4.1235,-37.363,34.9167,-32.9447
7500,4.08987,-40.298,430.223,-26.7912
7500,6.11343,-42.9526,4.07334,-37.9686
7500,6.47865,-42.8018,106.425,-29.3444
7500,6.48531,-44.156,175.427,-33.0309
