nMax,time,avgScore,varScore,maxScore
7,10.2495,-23.1647,0.097222,-23.0057
7,12.6412,-15.871,0.0607762,-15.6782
7,10.163,-13.1976,0.00627346,-13.1108
7,10.1135,-19.0873,0.0121578,-19.0173
7,13.4618,-12.4546,0.304619,-12.2595
7,8.24641,-19.8096,0.0353202,-19.7727
7,14.3433,-18.0391,0.0897051,-17.9562
7,9.67033,-15.7181,0.0119116,-15.6732
7,14.6062,-14.4542,0.0176511,-14.3694
7,6.34354,-17.8023,0.0628968,-17.7365
8,11.45,-20.2947,0.0348051,-20.0596
8,7.87188,-21.5625,0.0172991,-21.435
8,13.0435,-19.5335,0.04255,-19.4453
8,12.2099,-20.8542,0.0313697,-20.6727
8,5.52546,-21.162,0.0165558,-21.1118
8,17.1856,-15.5318,0.0433364,-15.3025
8,15.5457,-18.3687,0.0115814,-18.3111
8,8.16724,-18.19,0.0383068,-18.007
8,13.7856,-21.5732,0.0273883,-21.4457
8,7.92136,-20.9419,0.195934,-20.6503
8,5.61584,-22.3223,0.0330883,-22.1676
8,15.0604,-20.2032,0.0803701,-20.044
8,9.6625,-16.6837,0.273926,-16.3684
8,12.172,-21.1348,0.0150599,-21.0795
8,6.72383,-19.8227,0.227955,-19.7016
8,13.6403,-23.0103,0.00626264,-22.9917
8,17.6634,-16.6116,0.0252731,-16.4972
8,10.9178,-18.8555,0.0403502,-18.5245
8,8.63867,-16.3416,0.00269336,-16.2776
8,8.07215,-21.0012,0.0118271,-20.8107
9,7.31388,-19.0521,0.319254,-18.9522
9,7.95123,-21.2411,0.0175601,-21.0177
9,6.65052,-17.6038,0.00235318,-17.5412
9,12.4374,-17.485,0.051345,-17.1691
9,7.79651,-16.4537,0.112397,-16.1406
9,5.39245,-18.7062,0.0685361,-18.3829
9,10.0437,-17.4155,0.0123824,-17.3205
9,7.65015,-15.0434,0.113079,-14.816
9,9.60039,-19.2138,0.0220333,-19.1805
9,6.87358,-20.9566,0.0136604,-20.9144
9,6.79547,-21.8749,0.0446254,-21.7543
9,9.48117,-18.5957,0.00258706,-18.5472
9,7.74758,-19.1398,0.00923805,-19.0861
9,8.69345,-15.4208,0.0145447,-15.3994
9,7.75645,-16.3468,0.140345,-16.1062
9,11.0945,-20.6439,0.246538,-20.4311
9,10.21,-21.0844,0.0189018,-21.0601
9,8.20677,-19.2385,0.0187497,-19.1859
9,8.18593,-19.4447,0.111847,-18.8679
9,9.18525,-17.2822,0.0774514,-17.0313
10,12.9367,-20.026,1.26218e-29,-20.026
10,7.91534,-21.9079,0.0557279,-21.76
10,11.4807,-14.3577,0.111611,-14.1984
10,5.50572,-23.1931,0.0576647,-23.0064
10,8.5596,-22.003,0.343657,-21.7429
10,10.9256,-17.0147,0.067312,-16.8459
10,5.4256,-15.7299,0.00142242,-15.713
10,10.7153,-20.5022,0.00356993,-20.4393
