nMax,time,avgScore,varScore,maxScore
50,3.00206,-39.9237,507.92,-21.4691
50,2.70638,-31.8632,280.488,-24.3263
50,1.91618,-46.3505,1802.72,-22.5565
50,3.05246,-33.5265,176.184,-21.8073
50,1.60506,-31.8939,40.5048,-24.543
50,3.19787,-33.0376,218.184,-25.2922
50,1.52644,-32.496,54.6189,-25.356
50,1.5902,-40.359,397.864,-23.8929
50,2.62621,-38.1858,593.766,-25.3397
50,2.73468,-27.5722,59.6289,-18.1241
50,2.47714,-31.2123,139.28,-22.1388
50,2.78077,-36.0339,529.839,-23.4671
50,1.62403,-31.0841,299.857,-22.3696
50,2.56753,-29.8126,95.7305,-21.6955
50,2.98965,-33.7815,143.57,-24.308
50,2.05259,-30.406,141.549,-20.6952
50,1.32923,-38.185,256.422,-22.5782
50,2.27137,-39.1178,119.472,-28.9013
50,1.22292,-47.0826,460.371,-32.3421
50,1.73715,-48.3753,1798.13,-25.7919
100,2.35949,-36.4386,352.245,-24.7235
100,1.55867,-29.6612,189.669,-23.0443
100,3.75599,-28.7417,85.3073,-18.3432
100,1.17416,-35.5812,535.662,-24.7658
100,2.45024,-32.3802,46.6878,-27.3155
100,5.53289,-30.5494,193.043,-21.0847
100,3.74526,-41.0391,1750.56,-21.7306
100,3.47474,-40.5992,697.197,-24.8609
100,2.07778,-32.9633,273.69,-19.6621
100,3.55537,-39.1197,326.224,-21.0723
100,2.48809,-42.5536,6705.85,-24.1368
100,2.44073,-36.5915,309.005,-21.4105
100,3.00986,-34.4596,289.032,-25.3576
100,1.9821,-29.6389,80.3204,-23.1673
100,1.6967,-36.7664,168.686,-31.0645
100,2.54693,-34.7827,301.914,-23.8017
100,2.68439,-37.1388,199.007,-26.7726
100,4.82324,-29.1348,103.256,-20.0984
100,2.96306,-39.4208,61.5307,-27.6188
100,1.27451,-43.8603,558.425,-29.7847
150,3.58425,-38.5713,1110.85,-20.5775
150,3.48552,-30.8596,197.043,-24.5909
150,1.94973,-34.0641,109.432,-26.9531
150,3.2672,-39.617,253.442,-22.6072
150,3.13942,-31.6874,492.929,-24.1219
150,2.60073,-37.8631,110.114,-29.725
150,4.3629,-38.1051,590.03,-20.0984
150,4.04946,-41.7645,220.361,-30.8577
150,1.63517,-40.6588,318.191,-33.1998
150,4.72817,-30.4076,197.938,-21.5128
150,3.80256,-28.5469,124.795,-21.583
150,2.27408,-35.8959,266.182,-24.6515
150,3.47798,-37.3552,51.9513,-28.9133
150,5.53887,-31.0368,151.907,-21.4639
150,3.03591,-38.1143,491.459,-23.9444
150,3.22049,-36.2467,3963.43,-22.3812
150,3.20823,-23.6917,82.4003,-20.1574
150,2.62378,-37.1806,171.894,-25.517
150,3.0556,-30.8029,51.6952,-22.1043
150,4.4881,-37.1249,492.296,-19.5014
200,2.25135,-49.6221,299.803,-32.184
200,2.8136,-38.5903,173.133,-25.6757
200,2.5334,-47.0626,1032.67,-25.7001
200,2.73472,-41.6011,214.166,-32.3699
200,4.38388,-32.3702,54.4907,-21.0836
200,5.88282,-33.9273,653.386,-20.7176
200,3.04439,-30.3414,33.2472,-20.1147
200,5.49999,-27.2664,174.092,-19.693
200,3.19058,-43.0585,852.82,-22.1862
200,2.75097,-44.4704,598.966,-29.9993
200,1.77727,-35.9514,145.409,-28.073
200,3.82946,-41.47,132.295,-28.3653
200,3.60294,-49.0447,578.516,-23.6702
200,3.14274,-39.4574,336.858,-24.8502
200,3.68872,-32.178,181.041,-22.5035
200,5.41057,-32.8911,174.022,-21.4691
200,5.44182,-32.4266,344.81,-21.4841
200,6.09569,-32.2923,186.654,-24.28
200,2.59864,-36.2683,294.426,-25.1766
200,2.51743,-31.864,2889.54,-20.8862
250,2.36924,-39.88,142.44,-29.3509
250,3.42567,-31.7695,183.848,-21.3668
250,2.95165,-40.6359,66.2535,-30.1746
250,2.8296,-35.4997,118.091,-26.2464
250,4.37557,-48.6245,1023.83,-23.5848
250,2.9368,-30.4977,334.35,-19.8389
250,2.21867,-61.3495,1030.28,-36.6021
250,7.41044,-33.3729,132.476,-24.878
250,2.86251,-43.6361,192.648,-28.4466
250,5.72688,-32.4566,1022.13,-19.0362
250,3.57156,-34.196,94.4757,-25.2946
250,3.13219,-37.8243,158.275,-28.8782
250,5.71174,-35.4148,206.279,-22.8983
250,2.1959,-39.4907,307.122,-31.5862
250,4.67197,-29.4057,147.168,-21.0784
250,2.61743,-32.5599,524.099,-22.9683
250,1.45841,-43.1239,77.6653,-31.9666
250,6.95528,-34.385,102.372,-21.0723
250,4.55966,-31.9434,238.587,-17.7137
250,4.69187,-42.1875,465.362,-22.021
300,8.0595,-29.3921,24.2993,-20.2762
300,1.0969,-75.1165,2701.73,-36.815
300,2.65006,-34.6686,258.401,-26.4107
300,3.70926,-35.8435,50.5017,-24.0045
300,5.08619,-29.0525,90.4891,-16.6233
300,3.22654,-33.3369,173.471,-26.1237
300,4.95317,-41.8365,447.893,-21.585
300,5.74587,-41.4281,726.892,-22.5144
300,5.33393,-40.9222,443.894,-24.7382
