method,numSamps,time,avgScore,maxScore
smc_fixedOrder,400,36.6823,-7.25232,-7.02978
mh,400,42.8681,-37.5703,-15.7935
mh,400,42.8717,-87.8947,-17.7237
mh,400,42.8704,-36.4564,-12.0213
mh,400,42.8734,-118.953,-18.5901
mh,400,42.851,-11.9862,-7.99567
mh,400,42.8555,-15.2808,-9.95277
mh,400,42.9523,-24.4423,-11.4569
mh,400,42.9175,-228.343,-17.5313
mh,400,42.8599,-35.639,-13.7444
mh,400,42.9096,-39.0526,-16.385
smc,500,72.9159,-6.44168,-6.14625
smc,500,99.8287,-6.91094,-6.76403
smc,500,79.8882,-5.40719,-5.11018
smc,500,41.4029,-8.22026,-7.90523
smc,500,53.3744,-8.60399,-8.13967
smc,500,50.0605,-7.57533,-7.37363
smc,500,43.48,-8.37898,-8.07705
smc,500,24.5975,-10.176,-10.0366
smc,500,31.4625,-9.23928,-9.01344
smc,500,113.722,-5.59556,-5.34318
smc_fixedOrder,500,10.2245,-15.0284,-14.7793
smc_fixedOrder,500,29.1528,-14.0797,-13.7684
smc_fixedOrder,500,5.9627,-13.8856,-13.6167
smc_fixedOrder,500,16.6611,-10.5092,-10.2752
smc_fixedOrder,500,32.0168,-7.93256,-7.76733
smc_fixedOrder,500,19.2041,-9.65002,-9.41599
smc_fixedOrder,500,12.3178,-11.222,-10.7282
smc_fixedOrder,500,29.4083,-8.09868,-7.85655
smc_fixedOrder,500,27.4318,-8.37442,-8.23201
smc_fixedOrder,500,62.8814,-11.5531,-11.4226
mh,500,61.1907,-43.5897,-19.5369
mh,500,61.1544,-21.9791,-12.6257
mh,500,61.187,-33.0006,-18.2169
mh,500,61.1832,-38.6041,-15.8746
mh,500,61.1587,-17.5861,-15.2821
mh,500,61.1672,-35.0735,-15.7548
mh,500,61.1713,-19.6899,-15.7016
mh,500,61.2074,-22.5645,-13.2369
mh,500,61.1726,-34.8854,-18.3321
mh,500,61.193,-70.9539,-15.7522
smc,600,127.195,-6.53556,-6.21182
smc,600,89.8485,-5.48277,-5.3023
smc,600,61.257,-8.61877,-8.44171
smc,600,293.861,-6.86648,-6.74388
smc,600,73.5192,-8.10393,-7.80113
