method,numSamps,time,avgScore,maxScore
smc_fixedOrder,400,2.22383,-24.6331,-24.3795
smc_fixedOrder,400,0.681493,-33.7737,-33.7737
smc_fixedOrder,400,1.95335,-15.8734,-15.4967
smc_fixedOrder,400,1.30476,-38.1293,-38.0095
smc_fixedOrder,400,2.84107,-20.4771,-20.3764
smc_fixedOrder,400,1.68007,-26.1782,-26.1233
smc_fixedOrder,400,1.3954,-28.9722,-28.939
smc_fixedOrder,400,1.34531,-35.3855,-35.2455
mh,400,3.42785,-46.8362,-27.4693
mh,400,3.45378,-32.0141,-17.4255
mh,400,3.47467,-42.7664,-16.9238
mh,400,3.42748,-38.3364,-25.0979
mh,400,3.44178,-40.099,-23.5497
mh,400,3.42755,-26.2682,-20.2127
mh,400,3.41965,-29.7926,-15.0162
mh,400,3.4292,-33.8943,-24.5324
mh,400,3.43687,-38.3866,-24.8502
mh,400,3.44179,-30.4818,-14.6299
smc,500,4.51299,-15.9962,-15.82
smc,500,4.06496,-11.9995,-11.3909
smc,500,4.73225,-12.1702,-12.1227
smc,500,5.52236,-14.9603,-14.3927
smc,500,5.22287,-12.1976,-12.0587
smc,500,3.33842,-17.7375,-17.5896
smc,500,5.22624,-12.8439,-11.7679
smc,500,3.51436,-16.9732,-16.4857
smc,500,3.78384,-15.3644,-15.1382
smc,500,5.0681,-11.1105,-10.9055
smc_fixedOrder,500,2.76085,-15.7973,-15.366
smc_fixedOrder,500,2.48813,-28.0213,-27.8745
smc_fixedOrder,500,2.13433,-28.3937,-28.0717
smc_fixedOrder,500,2.76533,-20.0731,-19.8439
smc_fixedOrder,500,0.75017,-37.5058,-37.158
smc_fixedOrder,500,2.06163,-22.7307,-22.4524
smc_fixedOrder,500,1.64319,-26.166,-26.1171
smc_fixedOrder,500,0.690124,-38.6082,-38.0023
smc_fixedOrder,500,1.98584,-22.5887,-22.3469
smc_fixedOrder,500,2.00879,-16.8883,-16.546
mh,500,4.65521,-36.9809,-24.5467
mh,500,4.67741,-24.2582,-16.9082
mh,500,4.6442,-30.6194,-16.7992
mh,500,4.64639,-20.1837,-12.6023
mh,500,4.6244,-31.4167,-15.5033
mh,500,4.63353,-33.1397,-14.8226
mh,500,4.64243,-29.3597,-14.4528
mh,500,4.63621,-30.3479,-14.4037
mh,500,4.6395,-29.3251,-14.1057
mh,500,4.66169,-35.5058,-20.0707
smc,600,6.56708,-12.0209,-11.5179
smc,600,5.0716,-14.1966,-14.0231
smc,600,5.1765,-13.8263,-13.0824
smc,600,6.08643,-11.5694,-11.2419
smc,600,3.49398,-15.5753,-15.3675
smc,600,4.28389,-16.2934,-16.11
smc,600,5.08705,-16.8602,-16.4021
smc,600,3.86345,-12.6804,-12.3597
smc,600,5.47613,-14.4568,-14.1057
smc,600,3.29559,-16.6778,-16.6079
smc_fixedOrder,600,1.72373,-19.5271,-19.2841
smc_fixedOrder,600,3.39501,-18.2292,-18.028
smc_fixedOrder,600,1.48931,-36.8527,-36.7795
smc_fixedOrder,600,3.49513,-21.6672,-21.3765
smc_fixedOrder,600,2.35947,-27.1497,-26.9842
smc_fixedOrder,600,2.5916,-19.7909,-19.4133
smc_fixedOrder,600,2.43143,-23.0934,-22.6886
smc_fixedOrder,600,2.34808,-23.7208,-23.1717
smc_fixedOrder,600,2.13524,-20.4512,-20.2483
smc_fixedOrder,600,2.11316,-37.369,-37.1792
mh,600,4.97382,-39.5118,-20.8693
mh,600,5.05862,-22.6593,-14.897
mh,600,4.98521,-26.3532,-14.2471
mh,600,4.99302,-36.6264,-20.2132
mh,600,4.99288,-36.5768,-20.1483
mh,600,4.97736,-43.4591,-20.165
mh,600,4.94648,-22.3069,-11.7977
mh,600,4.96478,-28.3888,-17.7125
mh,600,4.96497,-28.7544,-16.765
mh,600,4.99294,-34.226,-15.3326
smc,700,6.09319,-13.1578,-12.7984
smc,700,4.81502,-16.1644,-15.7288
smc,700,6.23758,-14.4934,-14.34
smc,700,5.78962,-14.4989,-14.1642
smc,700,5.23281,-17.4078,-16.8498
smc,700,5.84139,-14.644,-13.8688
smc,700,5.65805,-15.9888,-15.7432
smc,700,6.96896,-13.3847,-13.1963
